медицинские учреждения|медучреждениям
важным моментом|очень значительным моментом
возможно|может быть
итого|в итоге
любой пользователь|абсолютно каждый пользователь
наоборот|и наоборот
необходимо помнить|просто необходимо запомнить
подумайте сами|только вдумайтесь сами
порой|иногда
этот|данный
видный|образный|подобный
°снимите|°сшибите
1|один|одного|первого|одно|одну|одна
10|десять|десяти|десятого|десятый
100|сто
100%|сто процентов
1000|тысячи
10-месячным|десятимесячным
11|одиннадцать|одиннадцатого
13-й|тринадцатый
13-летнего|тринадцатилетнего
14|четырнадцать
14-летняя|четырнадцатилетняя
15|пятнадцати|пятнадцатого|пятнадцать
1600|тысяча шестьсот
17|семнадцати
18-го|восемнадцатого
19-летний|девятнадцатилетний
19-летняя|девятнадцатилетняя
1-ая|первая
1-ое|первое
1-ые|первые
1-ый|первый
2|два|двух
2 месяца|два месяца
2 недели|две недельки
20|двадцатый
200|двесте
2009 года|2009 г.
20-летний|двадцатилетний
25|двадцать пять
2-ая|вторая
2-го|второго
2-го полугодия|второго полугодия
2-м|двум
2-мя|двумя
2-ое|второе
2-ой|второй
2-х|двух
2-ые|вторые
3|три
30|тридцать
300|триста
30-летние|тридцатилетние
30-летних|тридцатилетних
30-летняя|тридцатилетняя
32|тридцать два
37|тридцать семь
39-летний|тридцатидевятилетний
3-ем|третьем
3-ий|третий
3-й|третий
3-мя|тремя
3-х|трех
3-я|третья
4|четыре|четвертого
40|сорок
400|четиреста
41 год|сорок один год
47|сорок семь
4-ая|четвертая
4-мя|четырьмя
4-ого|четвертого
4-ое|четвертое
4-ый|четвертый
4-ыми|четвертыми
5|пятого
50|пятьдесят
500|пятьсот
5-ая|пятая
5-местная|пятиместная
5-местного|пятиместного
5-местном|пятиместном
5-местному|пятиместному
5-местную|пятиместную
5-местный|пятиместный
5-мя|пятерьмя
5-ого|пятого
5-ое|пятое
5-ом|пятом
5-ый|пятый
60|шестьдесят
60-х|шестидесятых
64|шестьдесят четыре
67-летний|шестидесяти семилетний
6-ой|шестой
70|семьдесят
70%|70 процентов
78-летний|семидесяти восьмилетний
7-й|седьмой
8|восьмой
8-летнего|восьмилетнего
8-ми|восьми
90-х|девяностых
9-этажного|девятиэтажного
abs|абс
area|область
Ask|Аск
audi|ауди
bid|бид
Bid|Бид
